City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Kavaratti,IN,2021-05-25 14:14:46,10.5669,72.642,83.46,77,95,16.51
121,Nogliki,RU,2021-05-25 15:15:56,51.8333,143.1667,33.35,97,100,8.01
122,Gritsovskiy,RU,2021-05-25 15:15:56,54.1376,38.1604,64.63,59,65,4.88
123,Conceicao Do Araguaia,BR,2021-05-25 15:15:09,-8.2578,-49.2647,90.37,46,36,2.55
124,Uige,AO,2021-05-25 15:15:57,-7.6087,15.0613,86.31,31,50,3.33
125,Kyenjojo,UG,2021-05-25 15:15:57,0.6328,30.6214,72.19,67,93,3.0
126,Mahebourg,MU,2021-05-25 14:14:16,-20.4081,57.7,74.25,83,75,6.91
127,Caceres,ES,2021-05-25 15:15:58,39.522,-6.3748,78.8,24,1,5.12
128,Dolinsk,RU,2021-05-25 15:15:58,47.35,142.8,38.21,97,100,6.87
129,Castro,BR,2021-05-25 14:14:26,-24.7911,-50.0119,65.35,34,21,2.3
130,Saint-Pierre,RE,2021-05-25 14:14:28,-21.3393,55.4781,74.88,74,75,11.5
131,Moron,AR,2021-05-25 15:15:58,-34.6534,-58.6198,62.96,57,0,9.48
132,Faanui,PF,2021-05-25 14:14:26,-16.4833,-151.75,80.58,70,33,7.99
133,Nikolskoye,RU,2021-05-25 14:14:56,59.7035,30.7861,58.89,57,90,8.34
134,Hit,IQ,2021-05-25 15:15:59,33.6416,42.8251,93.61,13,2,16.64
135,Sorland,NO,2021-05-25 15:15:59,67.667,12.6934,46.47,79,5,23.26
136,Natal,BR,2021-05-25 14:14:24,-5.795,-35.2094,86.65,54,75,13.24
137,Tessalit,ML,2021-05-25 14:14:48,20.1986,1.0114,108.81,5,7,3.22
138,Ribeira Grande,PT,2021-05-25 14:14:02,38.5167,-28.7,66.6,88,75,10.36
139,Barrow,US,2021-05-25 14:14:04,71.2906,-156.7887,27.1,87,100,1.88
140,Portobelo,PA,2021-05-25 15:15:00,9.55,-79.65,78.49,83,100,4.07
141,Ha Giang,VN,2021-05-25 15:15:00,22.8333,104.9833,76.57,98,70,2.44
142,Hirakud,IN,2021-05-25 15:15:00,21.5167,83.8667,76.23,73,100,15.99
143,Talnakh,RU,2021-05-25 15:15:01,69.4865,88.3972,25.45,92,74,13.0
144,Fort Nelson,CA,2021-05-25 14:14:43,58.8053,-122.7002,38.79,87,75,3.44
145,Berezna,UA,2021-05-25 15:15:01,51.5716,31.7846,67.39,65,84,6.51
146,Victoria,HK,2021-05-25 14:14:39,22.2855,114.1577,85.32,88,96,1.01
147,Kenora,CA,2021-05-25 15:15:02,49.8167,-94.4337,64.78,52,2,13.0
148,Farrukhabad,IN,2021-05-25 15:15:02,27.4,79.5667,94.35,10,100,3.98
149,Kodiak,US,2021-05-25 14:14:01,57.79,-152.4072,46.17,74,0,2.66
150,Georgetown,MY,2021-05-25 14:14:09,5.4112,100.3354,87.75,76,20,4.61
151,Letlhakane,BW,2021-05-25 15:15:03,-21.4167,25.5833,71.71,27,2,3.06
152,Dunedin,NZ,2021-05-25 15:15:03,-45.8742,170.5036,37.8,73,100,3.0
153,Sao Jose Da Coroa Grande,BR,2021-05-25 14:14:58,-8.8978,-35.1478,83.44,58,25,6.62
154,Lensk,RU,2021-05-25 15:15:03,60.7253,114.9278,43.07,88,58,3.2
155,Clacton-On-Sea,GB,2021-05-25 15:15:04,51.7897,1.156,60.35,71,93,5.99
156,Isangel,VU,2021-05-25 14:14:04,-19.55,169.2667,71.69,70,5,12.37
157,Coolum Beach,AU,2021-05-25 15:15:04,-26.5333,153.1,60.33,95,69,2.93
158,Hofn,IS,2021-05-25 15:15:05,64.2539,-15.2082,53.62,54,75,10.36
159,Tibati,CM,2021-05-25 15:15:05,6.4667,12.6333,87.93,43,100,1.34
160,Trairi,BR,2021-05-25 15:15:27,-3.2778,-39.2689,85.75,56,21,12.08
161,Itaituba,BR,2021-05-25 15:15:05,-4.2761,-55.9836,92.25,49,35,3.47
162,Longyearbyen,SJ,2021-05-25 14:14:54,78.2186,15.6401,30.04,69,75,16.11
163,Djougou,BJ,2021-05-25 15:15:06,9.7085,1.666,99.77,25,36,6.53
