City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
541,Hope,US,85.51,Clouds,33.6671,-93.5916,Best Western Hope
543,Natal,BR,79.02,Clouds,-5.795,-35.2094,Villa Park Hotel | Natal
546,Dubai,AE,86.22,Clear,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
548,Gwadar,PK,85.6,Clear,25.1216,62.3254,Sadaf Resort
549,Conceicao Do Araguaia,BR,80.73,Clear,-8.2578,-49.2647,Tarumã Tropical Hotel
551,Atar,MR,87.67,Clear,20.5169,-13.0499,Oumou Elghoura
556,Umm Lajj,SA,85.23,Clouds,25.0213,37.2685,Moon light Furnished Units
559,Chiang Khong,TH,75.52,Clouds,20.2613,100.4046,Chiangkhong Green Inn Resident
560,Ambon,ID,80.74,Clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
562,Port-Gentil,GA,78.76,Clouds,-0.7193,8.7815,Fengshui Residence
566,Pak Phanang,TH,78.82,Clouds,8.3511,100.20200000000001,Green Park Inn Hotel
567,La Asuncion,VE,78.53,Clouds,11.0333,-63.8628,Colinas de Matasiete
569,Sao Jose Da Coroa Grande,BR,76.93,Clouds,-8.8978,-35.1478,Crôa Mares Hotel
573,Santa Cruz Del Norte,CU,80.73,Clouds,23.1539,-81.9236,Felipon Pon Pon
580,Meulaboh,ID,76.55,Clouds,4.1363,96.1285,Kost Pria
583,Boa Vista,BR,78.78,Clouds,2.8197,-60.6733,Aipana Plaza Hotel
584,Houma,US,84.0,Clouds,29.5958,-90.7195,Courtyard by Marriott Houma
586,Puerto El Triunfo,SV,87.96,Clouds,13.2833,-88.55,Hotel Jardin
593,Half Moon Bay,US,79.54,Clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
596,Saint-Georges,GD,82.08,Clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
597,Awbari,LY,86.31,Clear,26.5921,12.7805,فندق أوباري
598,Takaungu,KE,75.15,Clouds,-3.6837,39.8566,Takaungu House
600,San Andres,CO,84.22,Clouds,12.5847,-81.7006,Hotel Arena Blanca
601,Lotofaga,WS,89.38,Clouds,-13.9764,-171.8578,Sataoa Beach Fales
602,Cedar City,US,79.39,Clouds,37.6775,-113.0619,Hampton Inn Cedar City
613,Carutapera,BR,76.32,Clouds,-1.195,-46.02,Lidera
617,Baracoa,CU,77.4,Clouds,20.3467,-74.4958,Hostal Rio Miel
622,Tallahassee,US,87.89,Clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
625,Lazaro Cardenas,MX,84.96,Clouds,17.9583,-102.2,quinta antigua
626,Koforidua,GH,75.2,Clouds,6.0941,-0.2591,Ajaria Royal Palace Hotel
631,Vanimo,PG,85.39,Clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
632,Baghdad,IQ,82.31,Clear,33.3406,44.4009,Baghdad Hotel
633,Tabuk,PH,85.01,Clouds,17.4189,121.4443,Golden Berries Hotel and Convention
636,Miraflores,MX,78.87,Clouds,19.2167,-98.8083,Hotel Mansión
643,Barao De Melgaco,BR,82.11,Clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
646,Januaria,BR,79.07,Clouds,-15.4833,-44.3667,Hotel Paraguassu
649,Hasanabad,IR,77.81,Clouds,36.5465,61.0543,
654,Bonito,BR,78.58,Clouds,-21.1211,-56.4819,Marruá Hotel
664,Iwaki,JP,75.02,Clouds,37.05,140.8833,Toyoko Inn Iwaki Ekimae
668,Sembakung,ID,79.66,Clouds,3.8167,117.25,
671,Pijijiapan,MX,85.46,Clouds,15.7011,-93.23,Hotel Rosita
672,Itoman,JP,82.42,Clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
